ID,English version,Description,Translation 1,Translation 1 rating,Translation 2,Translation 2 rating,Translation 3,Traslation 3 rating
STATUS:,,,"Huy & Lily are integrating this into G+me.
DO NOT EDIT ANYMORE.
To make updates, please put that in Translation 3",,"Huy & Lily are integrating this into G+me.
DO NOT EDIT ANYMORE.
To make updates, please put that in Translation 3"

extensionName,G+me for Google Plus™,Name of the extension,G+me para Google Plus™
extensionName add-on,Beta,"Meaning, the testing version of G+me",Beta
extensionName add-on,PARANOID Edition,Restricted version of G+me for privacy freaks :),Edición PARANOICA
extensionDescription,"Collapses the Google+ stream while keeping live updates: hides comments, collapses posts, etc.","Description of the extension, as shown in the Web Store","Plegar las novedades de Google+ manteniendo las actualizaciones en tiempo real: esconde comentarios, plega mensajes, etc."

options_nav_general_label,Navigation,Name of the tab in the options page,Navegación
options_nav_summary_label,Post Summary,Name of the options group for the text inside the bar when a post is collapsed,Resumen
options_nav_summaryIncludeThumbnails,Collapsed posts show thumbnails of photos from content,Checkbox text,Mostrar miniaturas de las fotos del mensaje
options_nav_summaryIncludeTime,Collapsed posts show date-time,Checkbox text,Mostrar fecha y hora del mensaje

options_nav_preview_label,Post Preview,Name of the options group for mouse-over instant preview,Vista previa
options_nav_previewEnableInExpanded,Enable in expanded mode,Checkbox text,Activado en modo expandido
options_nav_previewEnableInList,Enable in list mode,Checkbox text,Activado en modo lista

options_nav_browserAction_label,Browser Icon,Name of the options group for the browser icon,Icono G+me
options_nav_browserActionOpensNewTab,"When clicking the browser icon, Google+ will be opened if not yet already opened.  Checking this checkbox will open a new tab instead of re-using the current tab",Checkbox text,"Al hacer clic sobre el icono de G+me, se abrirá Google+ si no aún está abierto. Al marcar esta casilla lo abrirá en una pestaña nueva en vez de la actual.",,Al hacer clic sobre el icono de G+me abrirá Google+ si aún no está abierto. Al marcar esta casilla lo abrirá en una pestaña nueva en vez de la actual.

options_nav_pages_label,Pages,Name of the tab in the options page,Páginas
options_nav_global_label,Global,Name of the options group that acts as defaults for all pages,Global
options_nav_global_desc,"Configure these page options if you want to configure all types of pages (Stream, circles, Incoming, Notifications, Sparks, etc.) in the same way",Instructions for the global group,"Estas opciones configuran todas páginas (Novedades, Círculos, Notificaciones, Intereses, etc.) para ser vistas de la misma manera",,"Con estas opciones configurarás todas las páginas (Novedades, Círculos, Notificaciones, Intereses, etc.) para ser vistas de la misma manera"
options_nav_global_postsDefaultMode,Collapse mode for posts:,Text before the radiobuttons,,,Modo de plegado para mensajes:
options_nav_global_postsDefaultMode_expanded,Expanded — all default to expanded,Text after one of the options for collapsed mode for posts,Ampliado — todo por defecto ampliado
options_nav_global_postsDefaultMode_list,List — collapse all except for one,Text after one of the options for collapsed mode for posts,Lista — plegar todo menos uno
options_nav_global_commentsDefaultCollapsed,Collapse all comments by default,Checkbox text,Plegar todos los comentarios por defecto

options_nav_compat_label,Compatibility,Name of the tab in the options page,Compatibilidad
options_nav_compat_desc,This page is related to compatibility with other extensions that you may have installed for Google+.<br />You can ignore these options,Introductory text for the Compatibility page,Esta página está relacionada a la compatibilidad de otras extensiones que puedas tener instaladas para Google+.<br />Puedes ignorar estas opciones.
options_nav_compatSgp_label,"SGPlus, a.k.a. Start G+",Name of the options group for SGPlus,SGPlus
options_nav_compatSgp_desc,"<b>WARNING:</b> Compatibility with SGPlus is in beta.  There are still performance and instability issues.  Each option below adds more processing to SGPlus's frequent heavy-duty refreshes, possibly slowing down your browser and causing frequent pauses (annoying when you're typing).<br />
    Please report any problems to the <a href=\""$URL$\"" target=_blank>discussion about SGPlus compatibility on Google+</a>.",b,"<b>ADVERTENCIA:</b> La compatibilidad con SGPlus está en beta. Todavía existen problemas de rendimiento y estabilidad. Cada opción de las siguientes le agrega a SGPlus más procesos, con la posibilidad de volver más lento tu navegador y causando pausas frecuentes (muy molestas al escribir).<br /> Por favor, reporta cualquier problema en la <a href=\""$URL$\"" target=_blank>discusión acerca de la compatibilidad de SGPlus en Google+</a>"
options_nav_compatSgp,"Enable compatibility with SGPlus, i.e. make posts collapsible",Checkbox text,Habilitar compatibilidad con SGPlus <i>(hacer los mensajes plegable)</i>
options_nav_compatSgpComments,Make comments collapsible and track comments <i>(compatibility must be enabled)</i>,Checkbox text,Hacer comentarios plegables y seguir comentarios <i>(compatibilidad debe estar habilitada)</i>
options_nav_compatSgpCache,Enable speed cache to prevent refresh flicker <i>(compatibility must be enabled)</i> -- Experimental,Checkbox text,Habilitar caché de velocidad para prevenir el parpadeo de refresco <i>(compatibilidad debe estar habilitada)</i> -- Experimental
options_nav_compatSgpUsage_desc,<b>NOTE:<b> Google+ tabs must be reloaded after changing any of these options.,Text giving users instructions for above options,<b>NOTA:</b> se debe recargar la pestaña de Google+ luego de cambiar cualquiera de estas opciones.

options_nav_questions_label,Questions,Name of the tab in the options page for questions and problems,Preguntas
options_nav_links_label,Links,Name of the options group for URL links,Enlaces
options_nav_links_desc,"<p>Follow the author Huy Z on <a href=\""http://goo.gl/UmSoR\"" target=_blank>Google+</a> and <a href=\""http://twitter.com/huyplus\"" target=_blank>Twitter</a>.</p>
    <p>See usage instructions and the latest news at the <a href=\""http://huyz.us/google-plus-me/\"" target=_blank>G+me web page</a>.</p>
    <p>Give feedback in the <a href=\""http://huyz.us/gpme-release/\"" target=_blank>current discussion on Google+</a>.</p>
    <p>Rate the extension at the <a href=\""http://goo.gl/m837O\"" target=_blank>Chrome Web Store</a>.</p>
    <p>For the source code, go to <a href=\""http://goo.gl/BM8CG\"" target=_blank>GitHub</a>.</p>",Text with important links,"Sigue a Huy Z (el autor) en <a href=\""http://goo.gl/UmSoR\"" target=_blank>Google+</a> y <a href=\""http://twitter.com/huyplus\"" target=_blank>Twitter</a>.</p>
    <p>Puedes ver las instrucciones de uso y últimas noticias en <a href=\""http://huyz.us/google-plus-me/\"" target=_blank>la página web de G+me</a>.</p>
    <p>Daja tus comentarios en la <a href=\""http://huyz.us/gpme-release/\"" target=_blank>discución actual en Google+</a> <i> (en inglés)</i>.</p>
    <p>Puntúa esta extensión en la <a href=\""http://goo.gl/m837O\"" target=_blank>Chrome Web Store</a>.</p>
    <p>Para el código fuente, ve a <a href=\""http://goo.gl/BM8CG\"" target=_blank>GitHub</a>.</p>"
options_nav_faq_label,Frequently Asked Questions,Name of the options group for frequently asked questions,Preguntas Frecuentes
options_nav_faq_desc1,"<h3>Do you protect my privacy?</h3>
    <p>
    Yes, you're safe. Even though the Web Store says that this extension <i>could</i> see your \""browsing history\"", it does <i>not</i>. This is an open-source project whose <a href=\""http://goo.gl/BM8CG\"" target=_blank>source code</a> is available for you to check. You can read <a href=\""http://goo.gl/ld00X\"" target=_blank>my comments about privacy</a> and the technical reasons why the Web Store is misleading.</p>
    <p>
    You can also install a slightly less-featureful version of <b>G+me</b>: <a href=\""http://goo.gl/QCCAJ\"" target=_blank>G+me (PARANOID Edition)</a>.
    </p>
",Text of the Frequently Asked Questions,,,"<h3>¿Protegen mi privacidad?</ h3>
<p>Sí, estás a salvo. A pesar de que en la Web Store dice que esta extensión <i>podría</i> ver tu \""historial de navegación\"", <i>no lo hace</ i>. Se trata de un proyecto de código abierto, cuyo <a href=\""""http://goo.gl/BM8CG\"""" target=_blank>código</a> está disponible para que lo veas. Puedes leer <a href=\""""http://goo.gl/ld00X\"""" target=_blank>mis comentarios acerca de la privacidad</a> <i>(en inglés)</i> y las razones técnicas del porque la Web Store indica esto.</p>
<p>También puedes instalar una versión con menos características de <b>G+me</b>: <a href=\""""http://goo.gl/QCCAJ\"""" target=_blank> G+me (Edición PARANOICA)</ a>.</p>"
options_nav_faq_desc2,"    <h3>This extension slows down Google+</h3>
    <p>This is most likely because of incompatibility with other extensions. Try disabling all other Google+ extensions. Please let me know which extensions seem to interact badly with <b>G+me</b>, and I'll take a look at it.
    </p>
",Text of the Frequently Asked Questions,,,"<h3>Esta extensión ralentiza Google+</h3>
<p>De suceder esto, es más probable que sea debido a una incompatibilidad con otras extensiones. Prueba a desactivar las demás extensiones de Google+. Por favor, hazme saber que extensiones parecen interactuar mal con <b>G+me</b>, y le echaré un vistazo.</p>"
options_nav_faq_desc3,"    <h3>This extension conflicts with other extension X</h3>
    <p>
    On August 2nd and 3rd, Google+ changed its layout, breaking almost all extensions.  As a result, every extension had to change its code.  It will take some time before I can restore compatibility with other extensions.  Please be patient.
    <!--
    This extension is <i>incompatible</i> with <b>+Comment Toggle</b>.  It is <i>compatible</i> with <b>Start G+</b> (careful with performance issues), <b>Surplus</b>, <b>Replies and more</b> (you must turn off the 'm' key shortcut from its options), <b>Extended Share</b>, <b>G+ Ultimate</b> (except for \""side-by-side view\"" &amp; \""status scrollbars\""), <b>Usability Boost</b>, <b>G+ Tweaks</b>, <b>Share+ Social Buttons</b>, <b>Helper</b> (except for notifications), <b>Google Plus Reply+</b>, <b>Plus Minus</b>, <b>Adhik</b>, <b>Fav+</b>, <b>Circlestars</b>.<br />
    -->
    </p>
",Text of the Frequently Asked Questions,,,"<h3>Esta extensión tiene conflictos con otra extensión X</h3>
<p>Entre el 2 y 3 de agosto Google+ cambió su diseño, inutilizando casi todas las extensiones. Como resultado, cada desarrollador tuvo que cambiar el código. Tomará algún tiempo antes de que pueda restaurar la compatibilidad con otras extensiones. Por favor, se paciente.
<!--
Esta extensión es <i>compatible</i> con <b>Start G+</ b> (cuidado con los problemas de rendimiento), <b>Surplus</b>, <b>Replies and more</b> (tienes que deshabilitar el acceso directo de la tecla 'm' en sus opciones), <b>Estended Share</b>, <b>G+ Ultimate</b> (a excepción de \""""side-by-side view \"""" &amp; \""""status scrollbars\""""), <b>Usability Boost</b>, <b>G+ Tweaks</b>, <b>Share+ Social Buttons</b>, <b>Helper</b> (a excepción de las notificaciones), <b>Google Plus Reply+</b>, <b>Plus Minus</b>, <b>Adhik</b>, <b>Fav+</b>, <b>Circlestars</b>.<br />
Esta extensión es <i>incompatible</i> con <b>+Comment Toggle</b>
-->
</p> "
options_nav_faq_desc4,"    <h3>Will this be ported to Firefox or other browsers?</h3>
    <p>
    Once I've implemented other features, I plan to port to Firefox.  But this could take a couple of weeks.  Other browsers are not in the plans.
    </p>",Text of the Frequently Asked Questions,,,"<h3>¿Será portado a Firefox y otros navegadores?</h3>
<p>Una vez que haya implementado otras funciones, tengo la intención de portar a Firefox. Sin embargo, esto podría tomar un par de semanas. No hay planes para otros navegadores.</p>"

options_nav_problems_label,Problems,Name of the options group for problems,,,Problemas
options_nav_problemsTroubleshoot,"In case of strange behavior, try the following:<br />
    <ul>
    <li>Reload the page (the problem could just be Google+)</li>
    <li>Restart your browser (the browser has bugs too)</li>
    <li>Make sure you have the latest version of <b>G+me</b>. To check, right-click on the G+me browser icon, go to \""Manage Extensions\"" and then compare with the latest version at the <a href=\""http://goo.gl/m837O\"" target=_blank>Web Store</a>.  Here's how to <a href=\""http://www.howtogeek.com/64525/how-to-manually-force-google-chrome-to-update-extensions/\"" target=_blank>force extensions to update</a>.</li>
    <li>If you already have the latest version of <b>G+me</b>, you may try uninstalling and re-installing the extension.</li>
    <li>You may try resetting all your options and history.  See below.</li>
    </ul>",Explain some steps to troubleshoot,,,"En el caso de experimentar algún comportamiento extraño, intente lo siguiente:<br/>
<ul>
<li>Actualizar la página (el problema podría ser Google+)</li>
<li>Reinicia el navegador (el navegador también tiene errores)</li>
<li>Asegúrate de tener la última versión de <b>G+me</b>. Para comprobarlo, haz clic derecho en el icono G+me, ir a \""""Administrar extensiones...\"""" y luego compara con la versión más reciente en la<a href =\""""http://goo.gl/m837O\"""" target=_blank>Web Store</a>. He aquí cómo <a href=\""""http://www.howtogeek.com/64525/how-to-manually-force-google-chrome-to-update-extensions/\"""" target=_blank>forzar la actualización de extensiones</a> <i>(en inglés)</i>.</li>
<li>Si ya tienes la versión más reciente de <b>G+me</b>, intenta desinstalando y volviendo a instalar la extensión.</li>
<li>Puedes intentar restablecer todas las opciones e historial. Ver más abajo.</li>
</ul> "
options_nav_problemsFeedback,"You can always ask questions and give feedback in the <a href=\""http://huyz.us/gpme-release/\"" target=_blank>current discussion about G+me on Google+</a>",Giving a link for feedback,"Siempre puedes preguntar y expresar tus comentarios en la <a href=\""http://huyz.us/gpme-release/\"" target=_blank>discución actual en Google+</a> <i> (en inglés)</i>"

options_nav_reset_label,Resetting,Name of the options group for the resetting buttons,Restablecer 
options_nav_resetSettings_label,To return all the <b>G+me</b> options back to their defaults:,Text before the button that resets the options,Para restablecer todas las opciones por defecto de <b>G+me</b>:
options_nav_resetSettings,Reset all G+me options,Text shown on the button,Restablecer opciones de G+me
options_nav_resetAll_label,"In case of problems, try resetting all your options and history",Suggestion for what to do in case of problems; with clickable button at the right,"En caso de problemas, intenta restablecer las opciones e historial"
options_nav_resetAll,Reset all G+me options and history,Text shown on the button,Restablecer opciones e historial de G+me
options_nav_reset_desc,"NOTE: These buttons have nothing to do with your Google+ data, which is always safe from this extension.",Footnote for the reset buttons,"NOTA: estas funciones no modifican tus datos en Google+, los que siempre estarán a salvo de esta extensión."


ui_posts_markAllReadButton,Mark all posts as read,Tooltip that shows up when hovering over button,,,Marcar todos los mensajes leídos
ui_posts_expandAllButton,Expand all posts,Tooltip that shows up when hovering over button,,,Expandir todos los mensajes
ui_posts_collapseAllButton,Collapse all posts,Tooltip that shows up when hovering over button,,,Plegar todos los mensajes
ui_posts_markReadButton,Mark this post as read,Tooltip that shows up when hovering over button,,,Marcar mensaje como leído
ui_posts_muteButton,Mute this post,Tooltip that shows up when hovering over button,,,Silenciar esta publicación